schluessel,laender,arbeitslos.gsamt,arbeitslos.ausld,arbeitslos.bhdt,arbeitslos.15bis20,arbeitslos15bis25,arbeitslos.55bis65,arbeitslos.langzeit
06434005,        Königstein im Taunus,199,47,11,1,11,46,55
06434006,        Kronberg im Taunus,238,50,24,3,16,57,67
06434007,        Neu-Anspach,294,72,20,6,28,60,105
06434008,        Oberursel (Taunus),806,278,59,9,55,156,287
06434009,        Schmitten,151,18,11,2,10,39,47
06434010,        Steinbach (Taunus),314,148,24,4,23,51,155
06434011,        Usingen,354,127,33,4,28,81,158
06434012,        Wehrheim,141,28,10,2,10,41,40
06434013,        Weilrod,122,12,8,3,14,33,38
06435,      Main-Kinzig-Kreis,10988,2781,829,219,1202,1867,2945
06435001,        Bad Orb,232,36,20,5,24,49,43
06435002,        Bad Soden-Salmünster,248,44,23,3,28,50,43
06435003,        Biebergemünd,141,12,13,2,14,29,27
06435004,        Birstein,116,7,13,3,12,38,25
06435005,        Brachttal,77,4,11,1,10,19,12
06435006,        Bruchköbel,365,61,35,5,33,75,74
06435007,        Erlensee,487,127,36,14,59,82,133
06435008,        Flörsbachtal,39,1,6,0,6,5,7
06435009,        Freigericht,241,26,26,3,26,54,40
06435010,        Gelnhausen,533,137,42,8,59,83,152
06435011,        Großkrotzenburg,158,26,11,2,17,18,32
06435012,        Gründau,307,38,26,8,38,59,83
06435013,        Hammersbach,80,4,6,2,8,17,14
06435014,        Hanau,3997,1422,230,102,465,552,1299
06435015,        Hasselroth,133,13,15,2,10,31,32
06435016,        Jossgrund,53,10,5,1,5,13,9
06435017,        Langenselbold,257,36,19,2,23,52,41
06435018,        Linsengericht,182,22,13,3,21,39,37
06435019,        Maintal,1339,436,89,23,120,213,413
06435020,        Neuberg,99,14,7,2,10,18,24
06435021,        Nidderau,335,40,29,3,34,82,50
06435022,        Niederdorfelden,79,16,9,1,4,10,14
06435023,        Rodenbach b Hanau,248,52,19,3,29,41,71
06435024,"        Ronneburg, Hess",71,3,5,1,9,19,15
06435025,        Schlüchtern,328,60,34,6,42,52,66
06435026,        Schöneck,202,32,14,4,21,39,46
06435027,        Sinntal,118,3,17,2,10,39,22
06435028,        Steinau a.d.Straße,193,25,26,3,22,39,42
06435029,        Wächtersbach,331,75,33,6,42,50,81
06435200,        Gutsbezirk Spessart,x,x,x,x,x,x,x
06436,      Main-Taunus-Kreis,5400,1537,442,83,460,1129,1735
06436001,        Bad Soden am Taunus,398,95,26,4,20,87,136
06436002,        Eppstein,272,67,19,7,28,60,64
06436003,        Eschborn,526,189,39,7,39,106,169
06436004,        Flörsheim am Main,513,143,41,7,46,93,177
06436005,        Hattersheim am Main,945,334,85,15,90,174,350
06436006,        Hochheim am Main,407,87,35,6,35,91,134
06436007,        Hofheim am Taunus,786,206,68,8,65,183,218
06436008,        Kelkheim (Taunus),552,135,41,11,48,127,183
06436009,        Kriftel,218,68,20,4,25,45,62
06436010,        Liederbach am Taunus,209,62,17,3,16,46,67
06436011,        Schwalbach am Taunus,406,118,35,8,37,73,132
06436012,        Sulzbach (Taunus),167,32,16,2,10,44,44
06437,      Odenwaldkreis,2990,784,148,73,360,589,1353
06437001,        Bad König,280,86,17,4,31,54,125
06437002,        Beerfelden,184,40,12,4,22,42,74
06437003,        Brensbach,122,13,7,4,16,17,47
06437004,        Breuberg,220,86,11,6,32,32,97
06437005,        Brombachtal,90,4,7,1,7,24,39
06437006,        Erbach,542,150,21,13,60,115,275
06437007,        Fränkisch-Crumbach,58,1,5,2,5,24,19
06437008,        Hesseneck,10,0,-,1,1,4,4
06437009,        Höchst i. Odw.,383,194,18,14,56,58,170
06437010,        Lützelbach,171,35,12,3,21,30,64
06437011,        Michelstadt,608,140,19,15,70,122,310
06437012,        Mossautal,37,1,4,1,6,7,12
06437013,        Reichelsheim (Odenwald),218,35,13,4,26,42,100
06437014,        Rothenberg,43,0,1,1,3,14,11
06437015,        Sensbachtal,22,0,2,1,3,4,6
06437016,        Oberzent,-,-,-,-,-,-,-
06438,"      Offenbach, Landkreis",9964,3280,590,182,937,2133,2324
06438001,        Dietzenbach,1433,707,66,26,138,248,372
06438002,        Dreieich,1104,357,45,15,103,239,272
06438003,        Egelsbach,242,54,19,5,17,64,60
06438004,        Hainburg,343,77,21,8,39,81,64
06438005,        Heusenstamm,470,145,24,10,45,108,116
06438006,        Langen (Hessen),1143,352,67,21,106,233,276
06438007,        Mainhausen,198,36,19,4,19,42,35
06438008,        Mühlheim am Main,855,311,57,19,82,201,202
06438009,        Neu-Isenburg,1331,502,75,19,106,269,315
06438010,        Obertshausen,702,210,52,13,75,158,162
06438011,        Rodgau,1072,260,72,22,112,243,229
06438012,        Rödermark,626,157,38,11,51,144,130
06438013,        Seligenstadt,445,111,37,9,44,102,91
06439,      Rheingau-Taunus-Kreis,4142,922,210,42,303,875,1737
06439001,        Aarbergen,132,22,3,4,11,28,51
06439002,        Bad Schwalbach,333,75,17,3,22,58,146
06439003,        Eltville am Rhein,309,64,14,4,22,74,114
06439004,        Geisenheim,329,82,13,4,22,63,161
06439005,        Heidenrod,128,8,13,2,11,35,40
06439006,"        Hohenstein, Untertaunus",86,4,4,1,7,24,32
06439007,        Hünstetten,157,15,11,2,11,37,60
06439008,        Idstein,540,137,31,3,36,122,213
06439009,        Kiedrich,58,5,7,1,7,10,19
06439010,"        Lorch, Rheingau",112,17,7,0,8,24,63
06439011,        Niedernhausen,268,63,19,1,15,74,80
06439012,        Oestrich-Winkel,250,52,9,2,20,55,113
06439013,        Rüdesheim am Rhein,416,153,10,6,33,68,217
06439014,        Schlangenbad,100,17,5,1,7,24,33
06439015,        Taunusstein,742,183,35,7,53,130,327
06439016,        Waldems,92,10,9,1,10,31,29
06439017,        Walluf,88,16,3,1,8,20,39
06440,      Wetteraukreis,8225,1748,698,168,865,1714,2657
06440001,"        Altenstadt, Hess",352,88,24,9,40,63,119
06440002,        Bad Nauheim,902,278,67,12,81,209,289
06440003,        Bad Vilbel,665,179,46,10,51,144,208
06440004,        Büdingen,759,134,52,21,92,146,284
06440005,        Butzbach,855,156,65,15,90,179,322
06440006,        Echzell,158,15,15,3,14,42,50
06440007,        Florstadt,239,29,23,5,24,49,71
06440008,        Friedberg (Hessen),1100,377,95,14,109,206,403
06440009,        Gedern,177,18,20,6,25,30,52
06440010,        Glauburg,78,8,6,1,7,17,28
06440011,        Hirzenhain,95,10,6,6,12,20,28
06440012,        Karben,459,115,32,13,50,98,130
06440013,        Kefenrod,76,8,8,3,12,18,19
06440014,        Limeshain,163,26,15,3,12,32,61
06440015,        Münzenberg,114,6,14,1,15,19,35
06440016,        Nidda,504,89,50,12,56,115,162
06440017,        Niddatal,193,24,21,4,19,40,48
06440018,        Ober-Mörlen,95,15,8,2,10,18,24
06440019,"        Ortenberg, Hess",238,14,24,6,23,53,61
06440020,        Ranstadt,128,10,19,2,14,32,33
06440021,        Reichelsheim (Wetterau),171,31,17,5,24,32,37
06440022,        Rockenberg,69,8,8,2,9,19,18
06440023,        Rosbach v.d.Höhe,229,58,23,6,28,52,70
06440024,        Wölfersheim,278,28,29,6,27,62,84
06440025,        Wöllstadt,127,24,12,3,19,18,22
065,"    Gießen, Regierungsbezirk",31597,5809,2852,538,3398,5948,11542
06531,"      Gießen, Landkreis",9457,1735,940,156,971,1759,4161
06531001,        Allendorf (Lumda),87,4,11,3,10,24,30
06531002,        Biebertal,196,14,28,6,28,41,65
06531003,        Buseck,351,42,32,8,47,72,153
06531004,        Fernwald,174,19,22,1,14,34,75
06531005,        Gießen,4273,986,346,72,435,665,2048
06531006,"        Grünberg, Hess",448,39,64,6,45,107,186
06531007,        Heuchelheim,232,43,24,2,25,49,93
06531008,        Hungen,376,40,50,5,32,87,158
06531009,        Langgöns,283,46,34,3,27,58,99
06531010,"        Laubach, Hess",338,40,47,5,33,69,144
06531011,        Lich,378,46,44,5,25,80,155
06531012,"        Linden, Hessen",419,77,40,6,37,84,168
06531013,        Lollar,364,117,32,6,49,66,158
06531014,        Pohlheim,588,109,55,12,60,120,264
06531015,"        Rabenau, Hess",122,5,23,4,17,40,42
06531016,        Reiskirchen,289,24,31,4,31,58,114
06531017,"        Staufenberg, Hess",240,47,21,5,28,44,100
06531018,        Wettenberg,299,37,35,2,29,61,112
06532,      Lahn-Dill-Kreis,8330,1706,741,155,905,1738,3202
06532001,        Aßlar,504,126,52,11,68,86,176
06532002,        Bischoffen,49,4,5,1,5,11,15
06532003,        Braunfels,351,41,38,6,38,84,117
06532004,"        Breitscheid, Hess",96,3,9,3,11,34,37
06532005,        Dietzhölztal,130,13,11,2,12,24,48
06532006,        Dillenburg,828,199,74,16,80,187,353
06532007,        Driedorf,113,11,12,2,14,24,34
06532008,        Ehringshausen,274,65,21,5,31,46,105
06532009,        Eschenburg,223,34,24,3,26,54,95
06532010,        Greifenstein,180,14,20,2,23,52,55
06532011,        Haiger,578,153,63,8,57,123,233
06532012,"        Herborn, Hess",711,165,74,13,68,142,305
06532013,        Hohenahr,101,5,12,2,13,27,29
06532014,        Hüttenberg,199,25,11,6,26,38,59
06532015,        Lahnau,206,30,17,1,24,43,72
06532016,        Leun,189,18,19,2,18,37,58
06532017,        Mittenaar,122,9,16,2,10,31,45
06532018,        Schöffengrund,130,13,13,1,15,32,37
06532019,        Siegbach,44,2,6,1,3,15,12
06532020,        Sinn,189,36,19,4,27,36,61
06532021,        Solms,377,46,37,6,38,82,129
06532022,        Waldsolms,108,9,13,2,16,24,33
06532023,        Wetzlar,2629,686,174,55,282,504,1095
06533,"      Limburg-Weilburg, Landkreis",5222,1140,427,89,557,884,1807
06533001,        Beselich,152,29,10,3,20,25,53
06533002,        Brechen,153,24,14,2,17,29,55
06533003,        Bad Camberg,368,80,29,6,36,72,136
06533004,"        Dornburg, Westerw",254,56,21,3,24,37,90
06533005,        Elbtal,70,9,11,1,6,8,24
06533006,        Elz,224,64,16,2,20,35,68
06533007,        Hadamar,509,134,32,7,50,88,207
06533008,        Hünfelden,188,13,16,5,24,38,49
06533009,        Limburg a.d.Lahn,1408,472,86,26,152,194,501
06533010,        Löhnberg,137,21,15,2,14,28,53
06533011,        Mengerskirchen,177,14,24,1,13,34,73
06533012,        Merenberg,92,10,14,3,12,23,32
06533013,        Runkel,253,47,19,8,31,42,79
06533014,        Selters (Taunus),155,15,14,2,14,34,51
06533015,        Villmar,145,15,14,2,14,29,36
06533016,        Waldbrunn (Westerwald),187,30,13,3,26,31,50
06533017,        Weilburg,433,77,45,9,48,74,158
06533018,        Weilmünster,230,27,22,4,28,43,67
06533019,        Weinbach,84,4,12,2,8,20,25
06534,"      Marburg-Biedenkopf, Landkreis",5928,1023,522,88,655,953,1751
06534001,        Amöneburg,97,4,7,2,13,20,30
06534002,        Angelburg,57,7,5,1,6,10,14
06534003,        Bad Endbach,167,11,27,3,17,30,37
06534004,        Biedenkopf,349,75,42,6,43,64,121
06534005,        Breidenbach,116,41,11,2,15,17,32
06534006,        Cölbe,148,23,14,1,18,26,39
06534007,        Dautphetal,188,39,14,1,20,34,48
06534008,        Ebsdorfergrund,135,5,13,2,15,21,25
06534009,        Fronhausen,68,6,6,1,8,16,16
06534010,        Gladenbach,263,44,27,3,26,41,76
06534011,        Kirchhain,386,60,31,6,45,62,130
06534012,        Lahntal,118,10,8,2,14,24,25
06534013,        Lohra,103,5,10,2,14,19,25
06534014,        Marburg,1932,296,168,31,195,276,563
06534015,        Münchhausen am Christenberg,69,2,12,1,8,13,21
06534016,        Neustadt (Hessen),272,41,16,5,41,46,92
06534017,        Rauschenberg,105,6,11,2,14,17,26
06534018,        Stadtallendorf,859,301,57,8,85,123,285
06534019,        Steffenberg,68,3,6,2,7,11,17
06534020,        Weimar (Lahn),120,16,8,3,10,26,34
06534021,        Wetter (Hessen),258,25,25,4,34,45,82
06534022,        Wohratal,49,3,6,1,5,10,15
06535,      Vogelsbergkreis,2661,205,222,50,310,615,621
06535001,        Alsfeld,539,63,32,11,66,118,122
06535002,        Antrifttal,38,2,2,0,4,9,6
06535003,        Feldatal,54,2,2,1,7,14,13
06535004,        Freiensteinau,58,3,11,0,5,20,14
06535005,        Gemünden (Felda),63,5,5,1,8,14,12
06535006,        Grebenau,42,2,3,0,4,15,7
06535007,        Grebenhain,99,3,12,2,14,24,23
06535008,        Herbstein,101,3,12,1,12,23,17
06535009,        Homberg (Ohm),142,15,13,1,12,37,30
06535010,        Kirtorf,69,3,6,1,8,15,14
06535011,        Lauterbach (Hess.),398,50,24,9,46,81,101
06535012,        Lautertal (Vogelsberg),47,2,5,1,4,9,7
06535013,        Mücke,199,6,19,2,20,40,47
06535014,        Romrod,65,2,4,1,6,15,16
06535015,        Schlitz,264,13,25,7,35,55,73
06535016,        Schotten,276,22,28,6,38,64,65
06535017,"        Schwalmtal, Hess",62,3,8,2,6,22,15
06535018,        Ulrichstein,68,2,3,1,4,18,15
06535019,"        Wartenberg, Hess",78,3,10,2,11,21,24
066,"    Kassel, Regierungsbezirk",36555,5232,3239,789,4220,7573,12014
06611000,"      Kassel, Kreisfreie Stadt",9947,2411,642,227,1153,1782,3738
06631,"      Fulda, Landkreis",4138,526,572,91,446,883,993
06631001,        Bad Salzschlirf,68,8,6,0,4,18,9
06631002,        Burghaun,103,5,14,2,11,30,18
06631003,        Dipperz,36,2,5,1,3,10,4
06631004,        Ebersburg,57,4,8,1,8,10,11
06631005,        Ehrenberg (Rhön),30,0,5,0,4,10,2
06631006,        Eichenzell,157,12,23,4,17,29,35
06631007,        Eiterfeld,108,6,17,3,13,26,27
06631008,        Flieden,131,10,20,5,17,28,36
06631009,        Fulda,1861,367,227,39,191,360,491
06631010,        Gersfeld (Rhön),76,3,14,2,11,18,13
06631011,        Großenlüder,108,5,16,2,12,29,17
06631012,        Hilders,78,3,8,1,9,16,13
06631013,        Hofbieber,48,4,8,2,7,11,7
06631014,        Hosenfeld,69,2,8,2,7,19,13
06631015,        Hünfeld,317,28,55,8,32,80,91
06631016,        Kalbach,89,2,23,3,12,23,18
06631017,        Künzell,239,28,30,3,24,47,59
06631018,"        Neuhof, Kr Fulda",184,7,25,5,21,38,52
06631019,        Nüsttal,41,1,7,1,6,9,8
06631020,"        Petersberg, Kr Fulda",210,26,34,4,25,38,44
06631021,        Poppenhausen (Wasserkuppe),33,1,5,0,5,8,5
06631022,        Rasdorf,17,0,2,0,2,3,3
06631023,        Tann (Rhön),76,2,13,2,6,24,18
06632,"      Hersfeld-Rotenburg, Landkreis",3211,358,302,64,380,691,1150
06632001,        Alheim,128,5,11,2,19,33,41
06632002,        Bad Hersfeld,1082,189,90,23,123,207,452
06632003,        Bebra,494,74,31,11,66,106,183
06632004,        Breitenbach a. Herzberg,34,0,5,0,4,8,7
06632005,        Cornberg,52,3,6,1,7,12,16
06632006,"        Friedewald, Hess",36,2,5,1,4,7,11
06632007,        Hauneck,51,3,5,1,5,10,12
06632008,        Haunetal,50,0,6,0,5,22,18
06632009,        Heringen (Werra),140,2,21,2,11,32,53
06632010,        Hohenroda,40,2,3,0,5,7,8
06632011,"        Kirchheim, Hess",83,12,7,2,8,23,27
06632012,        Ludwigsau,84,7,8,1,11,21,27
06632013,"        Nentershausen, Hess",59,1,9,2,9,15,21
06632014,"        Neuenstein, Hess",55,2,9,1,6,12,10
06632015,        Niederaula,104,9,17,3,11,17,35
06632016,        Philippsthal (Werra),82,2,9,2,9,13,25
06632017,        Ronshausen,40,3,6,1,8,9,7
06632018,        Rotenburg a.d.Fulda,442,39,40,8,52,106,155
06632019,        Schenklengsfeld,76,1,7,2,8,13,25
06632020,        Wildeck,79,3,9,2,11,17,18
06633,"      Kassel, Landkreis",6415,719,519,129,697,1473,2133
06633001,        Ahnatal,166,12,14,5,18,42,47
06633002,        Bad Karlshafen,146,20,9,2,13,31,51
06633003,        Baunatal,794,156,65,15,85,179,274
06633004,        Breuna,64,1,6,1,10,13,19
06633005,        Calden,160,7,9,2,19,43,44
06633006,        Bad Emstal,152,9,14,3,14,39,56
06633007,        Espenau,113,8,14,2,9,32,34
06633008,        Fuldabrück,142,11,13,2,17,36,36
06633009,        Fuldatal,315,62,25,7,30,61,101
06633010,        Grebenstein,215,11,16,5,28,32,68
06633011,        Habichtswald,95,6,10,3,10,26,25
06633012,        Helsa,177,6,19,3,12,46,83
06633013,        Hofgeismar,607,57,41,16,84,133,216
06633014,        Immenhausen,219,13,15,5,27,54,67
06633015,        Kaufungen,349,24,33,5,28,93,141
06633016,"        Liebenau, Hess",85,1,4,4,10,19,27
06633017,        Lohfelden,451,104,37,9,43,120,161
06633018,        Naumburg,138,5,11,2,15,33,46
06633019,        Nieste,33,0,3,0,2,8,11
06633020,        Niestetal,245,38,18,5,27,46,58
06633021,        Oberweser,80,3,5,1,7,18,25
06633022,        Reinhardshagen,138,7,13,3,17,27,43
06633023,        Schauenburg,190,16,13,3,24,36,50
06633024,        Söhrewald,121,6,14,2,12,37,44
06633025,        Trendelburg,133,3,15,2,14,30,42
06633026,        Vellmar,486,91,36,10,49,108,156
06633027,        Wahlsburg,58,1,5,0,5,11,19
06633028,        Wolfhagen,414,36,28,8,54,89,147
06633029,        Zierenberg,127,8,13,5,16,30,43
06633200,        Gutsbezirk Reinhardswald,x,x,x,x,x,x,x
06634,      Schwalm-Eder-Kreis,5042,517,437,121,626,1043,1507
06634001,        Borken (Hessen),430,46,38,16,56,81,141
06634002,        Edermünde,118,10,13,4,13,18,28
06634003,        Felsberg,283,40,27,6,36,55,81
06634004,        Frielendorf,203,9,12,6,24,44,54
06634005,        Fritzlar,455,56,34,9,45,96,158
06634006,        Gilserberg,72,2,7,0,6,15,17
06634007,        Gudensberg,212,20,16,4,27,35,58
06634008,        Guxhagen,106,7,9,2,12,24,28
06634009,        Homberg (Efze),497,63,47,14,71,98,143
06634010,        Jesberg,69,3,10,1,7,14,25
06634011,        Knüllwald,116,6,12,2,10,28,31
06634012,        Körle,50,1,4,2,6,9,15
06634013,        Malsfeld,76,3,8,1,9,17,28
06634014,        Melsungen,394,81,37,10,50,87,163
06634015,        Morschen,98,6,10,2,13,25,39
06634016,        Neuental,72,4,8,3,14,17,19
06634017,"        Neukirchen, Knüll",217,12,17,3,25,50,64
06634018,        Niedenstein,101,5,8,2,13,25,23
06634019,        Oberaula,93,4,9,4,12,18,30
06634020,        Ottrau,42,1,3,2,6,8,5
06634021,        Schrecksbach,71,0,8,0,7,22,21
06634022,        Schwalmstadt,670,78,45,16,90,125,170
06634023,"        Schwarzenborn, Knüll",22,2,2,0,4,7,4
06634024,        Spangenberg,171,25,13,5,25,39,45
06634025,        Wabern,196,22,15,3,20,41,63
06634026,        Willingshausen,93,2,10,2,13,19,14
06634027,        Bad Zwesten,117,9,15,3,12,25,43
06635,"      Waldeck-Frankenberg, Landkreis",4373,460,441,92,524,968,1354
06635001,        Allendorf (Eder),115,17,9,3,19,23,27
06635002,        Bad Arolsen,547,84,41,12,63,100,209
06635003,        Bad Wildungen,630,98,60,8,72,139,202
06635004,        Battenberg (Eder),122,13,12,4,16,20,39
06635005,        Bromskirchen,40,3,4,1,3,10,12
06635006,        Burgwald,104,5,12,2,12,23,22
06635007,        Diemelsee,87,5,10,2,9,24,25
06635008,        Diemelstadt,140,10,18,3,10,34,41
06635009,        Edertal,143,5,13,2,13,46,42
06635010,        Frankenau,64,1,5,2,7,18,19
06635011,        Frankenberg (Eder),567,64,56,20,77,117,161
06635012,        Gemünden (Wohra),100,7,13,2,12,20,22
06635013,        Haina (Kloster),58,2,6,2,6,16,12
06635014,        Hatzfeld (Eder),49,3,5,1,8,9,9
06635015,        Korbach,770,101,87,12,97,175,264
06635016,"        Lichtenfels, Hess",80,4,10,2,13,22,19
06635017,"        Rosenthal, Hess",46,5,2,2,5,9,12
06635018,        Twistetal,88,4,10,3,11,15,32
06635019,        Vöhl,148,4,24,2,16,41,43
06635020,        Volkmarsen,208,12,14,4,24,43,78
06635021,"        Waldeck, Hess",164,9,20,2,20,41,44
06635022,        Willingen (Upland),103,5,11,1,12,24,23
06636,      Werra-Meißner-Kreis,3429,242,328,65,392,733,1139
06636001,        Bad Sooden-Allendorf,290,15,27,5,37,64,94
06636002,        Berkatal,34,0,6,2,4,10,7
06636003,        Eschwege,920,80,79,24,139,162,321
06636004,        Großalmerode,184,7,19,2,19,41,57
06636005,        Herleshausen,56,1,6,0,4,12,10
06636006,        Hessisch Lichtenau,374,49,42,8,37,81,116
06636007,        Meinhard,120,3,12,1,13,34,37
06636008,        Meißner,79,2,7,1,8,20,24
06636009,        Neu-Eichenberg,38,3,3,1,3,9,9
06636010,        Ringgau,61,1,5,0,6,16,15
06636011,        Sontra,270,15,25,5,31,65,72
06636012,        Waldkappel,110,2,15,3,11,23,35
06636013,        Wanfried,166,5,11,3,16,33,60
06636014,        Wehretal,110,3,14,1,9,31,34
06636015,        Weißenborn b Eschwege,27,0,4,1,3,6,7
06636016,        Witzenhausen,590,56,52,8,52,126,241
06636200,        Gutsbezirk Kaufunger Wald,x,x,x,x,x,x,x
07,  Rheinland-Pfalz,116353,18664,6727,2477,12750,23031,37046
071,"    Koblenz, Stat. Region",41762,5533,2239,854,4484,8593,12817
07111000,"      Koblenz, Kreisfreie Stadt",3708,722,183,79,335,715,1192
07131,"      Ahrweiler, Landkreis",2913,448,159,61,317,590,866
0713100007,"        Bad Neuenahr-Ahrweiler, verbandsfr. Gemeinde",620,130,38,11,61,117,169
0713100070,"        Remagen, verbandsfr. Gemeinde",408,85,23,9,43,82,128
0713100077,"        Sinzig, verbandsfr. Gemeinde",420,82,21,10,48,89,145
0713100090,"        Grafschaft, verbandsfr. Gemeinde",164,13,9,3,16,36,43
0713101,"        Adenau, Verbandsgem.",.,.,.,.,.,.,.
0713101001,        Adenau,89,14,4,1,15,17,24
0713101004,        Antweiler,14,2,1,0,1,3,3
0713101005,        Aremberg,2,0,-,0,0,2,1
0713101008,        Barweiler,12,0,1,0,2,4,5
0713101009,        Bauler b Barweiler,0,0,-,0,0,0,-
0713101015,        Dankerath,3,0,-,0,1,0,1
0713101018,        Dorsel,1,0,-,0,0,1,-
0713101021,        Eichenbach,1,0,-,0,0,0,-
0713101022,        Fuchshofen,3,0,-,0,1,0,1
0713101026,        Harscheid,4,0,1,0,0,1,1
0713101028,        Herschbroich,4,0,-,0,1,0,2
0713101030,"        Hoffeld, Eifel",4,0,-,0,0,2,1
0713101032,        Honerath,2,0,-,0,0,0,-
0713101033,        Hümmel,10,1,2,0,0,4,3
0713101034,        Insul,10,1,1,0,0,1,2
0713101037,        Kaltenborn,6,0,-,0,0,2,1
0713101042,        Kottenborn,2,0,-,0,0,0,-
0713101044,        Leimbach b Adenau,11,2,1,0,1,4,1
0713101050,        Meuspath,4,0,-,0,0,1,-
0713101051,        Müllenbach b Adenau,9,0,-,0,0,4,4
0713101052,        Müsch,3,0,-,0,0,1,-
0713101058,        Nürburg,3,0,-,0,0,1,1
0713101062,        Ohlenhard,2,0,-,0,0,2,1
0713101065,        Pomster,2,0,1,0,0,1,1
0713101066,        Quiddelbach,4,0,1,0,0,1,1
0713101069,        Reifferscheid,10,0,1,0,2,2,2
0713101072,        Rodder,3,0,-,0,0,0,1
0713101074,        Schuld,18,1,-,0,3,4,5
0713101075,        Senscheid,2,0,-,0,0,1,1
0713101076,        Sierscheid,2,0,-,0,0,1,1
0713101079,        Trierscheid,.,.,.,.,.,.,.
0713101082,        Wershofen,16,1,-,0,2,5,1
0713101083,        Wiesemscheid,7,0,1,0,0,1,2
0713101084,        Wimbach,11,0,1,0,1,3,1
0713101085,        Winnerath,5,0,-,0,0,2,1
0713101086,        Wirft,4,0,-,0,0,2,1
0713101501,        Dümpelfeld,11,0,1,0,1,5,3
0713102,"        Altenahr, Verbandsgem.",.,.,.,.,.,.,.
0713102002,        Ahrbrück,29,2,1,1,4,7,7
0713102003,        Altenahr,37,5,1,1,4,3,6
0713102011,"        Berg, Kr Ahrweiler",2,0,-,0,0,1,4
0713102017,        Dernau,35,1,1,1,5,7,7
0713102027,        Heckenbach,6,0,-,0,0,3,3
0713102029,        Hönningen,12,0,-,0,1,3,3
0713102036,"        Kalenborn, Kr Ahrweiler",5,1,-,0,0,0,-
0713102039,        Kesseling,13,2,2,1,1,2,3
0713102040,        Kirchsahr,8,0,1,0,1,2,1
0713102047,"        Lind, Kr Ahrweiler",1,0,-,0,0,0,2
0713102049,        Mayschoß,21,2,1,0,2,4,7
0713102068,        Rech,13,3,-,0,2,3,3
0713103,"        Bad Breisig, Verbandsgem.",.,.,.,.,.,.,.
0713103006,        Bad Breisig,351,67,16,8,36,63,128
0713103014,        Brohl-Lützing,62,6,3,1,8,8,21
0713103025,"        Gönnersdorf, Kr Ahrweiler",10,1,-,0,1,3,3
0713103081,        Waldorf,16,0,-,1,4,2,1
0713104,"        Brohltal, Verbandsgem.",.,.,.,.,.,.,.
0713104016,        Dedenbach,10,1,1,0,0,2,2
0713104041,"        Königsfeld, Eifel",11,1,-,0,1,2,1
0713104054,        Niederdürenbach,15,0,-,0,2,2,4
0713104055,        Niederzissen,52,4,6,3,9,13,18
0713104059,        Oberdürenbach,14,1,2,0,1,2,6
0713104060,        Oberzissen,21,2,1,0,1,6,5
0713104073,        Schalkenbach,12,0,-,0,2,4,3
0713104201,        Brenk,5,0,1,1,1,1,5
0713104202,        Burgbrohl,87,9,5,1,8,15,30
0713104204,        Galenberg,6,0,-,0,0,1,2
0713104205,        Glees,9,0,-,0,0,1,3
0713104206,        Hohenleimbach,4,0,-,0,1,0,1
0713104208,        Spessart,12,2,-,0,2,3,-
0713104209,        Wassenach,21,0,2,0,3,7,4
0713104210,"        Wehr, Eifel",17,0,1,0,3,4,5
0713104211,        Weibern,28,1,2,1,3,6,9
0713104502,        Kempenich,37,5,3,0,3,6,12
07132,"      Altenkirchen (Westerwald), Landkreis",3953,402,238,73,469,798,1306
0713200050,"        Herdorf, verbandsfr. Gemeinde",163,15,12,3,24,32,50
0713201,"        Altenkirchen (Westerwald), Verbandsgem.",.,.,.,.,.,.,.
0713201001,        Almersbach,10,1,1,0,1,4,4
0713201004,        Bachenberg,3,0,-,0,0,0,1
0713201009,        Birnbach,26,3,2,0,1,9,6
0713201017,        Busenhausen,4,0,-,0,2,1,-
0713201022,        Eichelhardt,12,0,-,0,1,2,1
0713201027,        Ersfeld,1,0,-,0,0,0,-
0713201031,        Fiersbach,7,0,-,0,0,3,2
0713201033,        Fluterschen,25,0,2,0,2,5,6
0713201035,        Forstmehren,1,0,-,0,0,0,-
0713201040,        Gieleroth,12,1,1,0,2,2,2
0713201046,"        Hasselbach, Westerwald",3,0,-,0,1,0,3
0713201047,        Helmenzen,17,0,-,0,3,5,3
0713201048,        Helmeroth,5,0,1,0,0,2,2
0713201049,        Hemmelzen,8,1,-,0,0,1,2
0713201051,        Heupelzen,5,0,1,0,0,1,1
0713201052,        Hilgenroth,10,0,-,0,1,2,5
0713201053,        Hirz-Maulsbach,8,0,-,0,0,2,3
0713201056,        Idelberg,2,0,1,0,0,0,-
0713201057,        Ingelbach,16,0,1,0,1,4,4
0713201058,        Isert,3,1,-,0,1,1,-
0713201061,        Kettenhausen,6,0,-,0,0,1,1
0713201062,        Kircheib,14,0,1,0,1,4,4
0713201064,        Kraam,6,0,-,0,0,2,2
0713201067,        Mammelzen,33,4,1,0,6,5,8
0713201069,"        Mehren, Westerwald",37,1,1,0,4,6,14
0713201070,        Michelbach (Westerwald),15,1,-,1,2,3,-
0713201074,        Neitersen,20,1,-,0,2,2,6
0713201081,        Obererbach (Westerwald),14,1,1,0,1,3,4
0713201082,        Oberirsen,24,1,-,0,3,5,9
0713201086,        Oberwambach,14,0,1,2,2,3,4
0713201087,        Ölsen,3,0,-,0,0,0,-
0713201092,        Racksen,2,0,-,0,0,2,1
