"","Schluessel","Name.y","Wahlberechtigte.btw","Wahlbeteiligung.btw","Gueltige.Zweitstimmen.btw","CDU.CSU.btw","SPD.btw","GRUENE.btw","FDP.btw","LINKE.btw","AfD.btw","Sonstige.Parteien.btw"
"1",1001,"      Flensburg, Kreisfreie Stadt","70321","66,6","46265","14136","16480","5507","2061","3780","1855","2446"
"2",1002,"      Kiel, Landeshauptstadt, Kreisfreie Stadt","187464","70,4","130686","38037","46070","18814","6688","9478","4778","6821"
"3",1003,"      Luebeck, Hansestadt, Kreisfreie Stadt","167287","67,8","112029","37701","38703","12561","5244","7396","4792","5632"
"4",1004,"      Neumuenster, Kreisfreie Stadt","61095","65,4","39388","14170","14092","2959","1925","2157","1965","2120"
"5",10041100,"      Saarbruecken, Landeshauptstadt","131860","68,3","88313","27769","26875","8387","4408","10777","3971","6126"
"6",10041511,"        Friedrichsthal, Saar","8637","68,6","5759","1990","2021","222","162","704","293","367"
"7",10041512,"        Grossrosseln","6711","75,8","4944","1729","1816","183","132","503","218","363"
"8",10041513,"        Heusweiler","15246","75,8","11290","4340","3293","574","611","1087","677","708"
"9",10041514,"        Kleinblittersdorf","9530","73,5","6790","2728","2020","373","294","587","342","446"
"10",10041515,"        Puettlingen","15986","75,8","11846","4954","3352","642","415","1158","660","665"
"11",10041516,"        Quierschied","11097","75,3","8094","3185","2549","324","280","758","437","561"
"12",10041517,"        Riegelsberg","12159","75,8","9024","3487","2790","540","383","885","446","493"
"13",10041518,"        Sulzbach, Saar","13245","66,8","8640","2841","2952","360","285","1027","466","709"
"14",10041519,"        Voelklingen","28659","66,1","18418","5846","6476","785","614","2358","938","1401"
"15",10042111,"        Beckingen","12528","75,9","9264","3478","3075","384","340","899","521","567"
"16",10042112,"        Losheim am See","13026","72,6","9175","4012","2571","433","305","748","493","613"
"17",10042113,"        Merzig","23539","71,1","16151","6759","4829","828","621","1413","744","957"
"18",10042114,"        Mettlach","9318","73,1","6649","2751","2037","294","241","541","394","391"
"19",10042115,"        Perl","4681","77,1","3524","1745","854","239","214","168","105","199"
"20",10042116,"        Wadern","13118","75,6","9604","4190","2871","478","334","712","480","539"
"21",10042117,"        Weiskirchen","5252","71,0","3600","1554","995","177","117","297","197","263"
"22",10043111,"        Eppelborn","14716","75,6","10791","4676","3066","442","373","817","768","649"
"23",10043112,"        Illingen, Saar","14349","76,3","10661","4381","3366","485","321","974","508","626"
"24",10043113,"        Merchweiler","8676","74,1","6242","2358","1988","263","182","666","321","464"
"25",10043114,"        Neunkirchen, Saar","35838","65,2","22780","6816","8525","987","753","2858","1313","1528"
"26",10043115,"        Ottweiler","12067","74,1","8710","2842","2981","477","296","962","506","646"
"27",10043116,"        Schiffweiler","13328","72,8","9431","3049","3373","400","232","1160","547","670"
"28",10043117,"        Spiesen-Elversberg","11171","70,5","7686","2789","2529","301","251","862","451","503"
"29",10044111,"        Dillingen, Saar","15193","67,7","9972","3892","3021","504","346","1084","542","583"
"30",10044112,"        Lebach","15286","75,2","11189","5081","2809","488","489","929","646","747"
"31",10044113,"        Nalbach","7477","77,3","5574","2277","1661","305","182","433","327","389"
"32",10044114,"        Rehlingen-Siersburg","12005","77,1","9021","3326","3371","519","236","619","443","507"
"33",10044115,"        Saarlouis","27770","69,5","18839","7253","5762","1126","818","1813","944","1123"
"34",10044116,"        Saarwellingen","10935","74,8","7933","3324","2338","380","270","714","381","526"
"35",10044117,"        Schmelz","13265","73,8","9453","3624","2941","422","312","863","601","690"
"36",10044118,"        Schwalbach, Saar","14533","76,6","10827","4274","3368","502","332","1043","571","737"
"37",10044119,"        ueberherrn","9562","71,6","6658","2674","2010","365","226","590","330","463"
"38",10044120,"        Wadgassen","14532","72,6","10322","3813","3319","595","441","950","548","656"
"39",10044121,"        Wallerfangen","7633","74,0","5504","2026","1716","258","220","641","269","374"
"40",10044122,"        Bous","5358","72,9","3780","1323","1188","283","136","413","200","237"
"41",10044123,"        Ensdorf, Saar","5069","71,9","3533","1381","1051","203","101","380","156","261"
"42",10045111,"        Bexbach","14974","72,6","10575","3753","3603","508","377","1075","526","733"
"43",10045112,"        Blieskastel","17896","78,2","13627","5312","4064","794","428","1334","808","887"
"44",10045113,"        Gersheim","5514","77,9","4124","1639","1091","270","132","433","264","295"
"45",10045114,"        Homburg","32236","71,1","22424","8637","6713","1248","1059","2029","1361","1377"
"46",10045115,"        Kirkel","8300","79,1","6441","2256","2247","415","298","541","290","394"
"47",10045116,"        Mandelbachtal","9387","80,0","7285","2984","2025","448","293","627","381","527"
"48",10045117,"        St.Ingbert","29822","74,2","21667","8690","6046","1250","948","1932","1194","1607"
"49",10046111,"        Freisen","6787","78,5","5179","2160","1735","186","131","452","236","279"
"50",10046112,"        Marpingen","8944","80,9","7009","2980","2236","338","180","593","314","368"
"51",10046113,"        Namborn","6117","75,3","4461","1801","1357","176","114","455","269","289"
"52",10046114,"        Nohfelden","8373","78,5","6370","2525","2205","259","185","491","316","389"
"53",10046115,"        Nonnweiler","7264","77,8","5504","2300","1814","200","212","422","270","286"
"54",10046116,"        Oberthal","5112","80,1","3962","1773","1293","146","72","280","172","226"
"55",10046117,"        St. Wendel","21691","75,5","15943","6913","4455","876","577","1427","773","922"
"56",10046118,"        Tholey","10300","80,2","7998","4108","1949","356","227","561","363","434"
"57",1051001,"        Albersdorf","2695","56,3","1500","721","394","81","101","65","65","73"
"58",1051002,"        Arkebek","176","71,0","124","67","23","10","9","6","3","6"
"59",1051003,"        Averlak","476","55,3","260","106","83","9","17","7","18","20"
"60",1051004,"        Bargenstedt","743","66,4","483","245","142","13","24","23","13","23"
"61",1051005,"        Barkenholm","144","70,8","101","54","26","11","3","2","1","4"
"62",1051006,"        Barlt","638","69,0","435","202","147","21","18","22","13","12"
"63",1051008,"        Bergewoehrden","25","92,0","23","17","1","-","3","1","-","1"
"64",1051010,"        Brickeln","156","63,5","96","60","9","4","7","3","8","5"
"65",1051011,"        Brunsbuettel","10521","55,4","5733","2104","2048","344","401","288","281","267"
"66",1051012,"        Buchholz","799","65,0","515","276","132","16","28","23","20","20"
"67",1051013,"        Buesum","4160","56,9","2341","1062","720","131","154","93","92","89"
"68",1051014,"        Buesumer Deichhausen","329","64,4","209","89","57","20","14","7","7","15"
"69",1051015,"        Bunsoh","620","64,4","395","209","75","33","14","30","11","23"
"70",1051016,"        Burg (Dithmarschen)","3440","56,3","1907","802","577","127","120","101","103","77"
"71",1051017,"        Busenwurth","239","65,7","154","82","38","11","4","5","5","9"
"72",1051019,"        Dellstedt","594","64,1","374","232","64","14","17","20","9","18"
"73",1051020,"        Delve","575","64,9","367","158","107","30","30","13","15","14"
"74",1051021,"        Diekhusen-Fahrstedt","563","56,5","315","119","136","10","14","10","10","16"
"75",1051022,"        Dingen","525","64,6","335","116","137","15","25","15","15","12"
"76",1051023,"        Doerpling","466","62,2","281","155","62","14","10","20","11","9"
"77",1051024,"        Eddelak","1077","60,0","633","279","176","29","37","36","39","37"
"78",1051026,"        Eggstedt","640","68,4","435","199","112","27","24","24","17","32"
"79",1051027,"        Elpersbuettel","682","63,6","423","205","130","19","26","15","15","13"
"80",1051028,"        Epenwoehrden","608","63,0","375","165","103","22","32","29","9","15"
"81",1051030,"        Fedderingen","202","65,8","133","75","26","7","9","3","6","7"
"82",1051032,"        Frestedt","299","67,2","197","106","45","18","5","8","6","9"
"83",1051033,"        Friedrichsgabekoog","41","65,9","27","11","14","1","-","1","-","-"
"84",1051034,"        Friedrichskoog","2037","57,8","1154","524","371","37","84","41","49","48"
"85",1051035,"        Gaushorn","147","68,0","98","51","22","7","7","5","3","3"
"86",1051036,"        Gluesing","92","70,7","65","38","13","2","6","2","3","1"
"87",1051037,"        Großenrade","399","66,4","259","111","71","15","9","24","11","18"
"88",1051038,"        Groven","66","65,2","43","20","14","1","5","1","1","1"
"89",1051039,"        Gudendorf","313","68,7","213","93","74","4","11","7","8","16"
"90",1051043,"        Hedwigenkoog","165","66,7","106","39","41","12","4","1","3","6"
"91",1051044,"        Heide","16887","53,5","8915","3608","2746","599","526","589","404","443"
"92",1051045,"        Hellschen-Heringsand-Unterschaar","128","60,9","76","42","14","5","5","4","5","1"
"93",1051046,"        Helse","710","57,2","400","154","150","19","19","23","17","18"
"94",1051047,"        Hemme","412","62,9","252","135","71","7","12","15","4","8"
"95",1051048,"        Hemmingstedt","2311","62,6","1436","571","556","62","64","71","54","58"
"96",1051049,"        Hennstedt","1566","60,7","934","426","250","50","91","44","37","36"
"97",1051050,"        Hillgroven","57","64,9","36","22","4","2","2","4","2","-"
"98",1051051,"        Hochdonn","967","60,9","579","241","164","41","37","28","25","43"
"99",1051052,"        Hoevede","52","71,2","37","22","4","3","3","-","4","1"
"100",1051053,"        Hollingstedt","244","58,2","141","79","31","10","6","7","4","4"
"101",1051054,"        Immenstedt","80","73,8","58","33","14","1","6","-","2","2"
"102",1051057,"        Kaiser-Wilhelm-Koog","262","66,0","167","80","37","9","15","9","4","13"
"103",1051058,"        Karolinenkoog","105","61,9","62","33","15","4","8","-","1","1"
"104",1051060,"        Kleve, Dithmarschen","354","68,1","239","112","63","17","17","11","6","13"
"105",1051061,"        Krempel","498","60,8","298","104","125","13","13","17","8","18"
"106",1051062,"        Kronprinzenkoog","663","70,9","467","203","162","20","21","29","14","18"
"107",1051063,"        Krumstedt","412","65,5","269","135","83","18","10","8","5","10"
"108",1051064,"        Kuden","491","64,4","314","141","85","14","20","14","12","28"
"109",1051065,"        Lehe","894","56,9","501","209","189","15","31","19","14","24"
"110",1051067,"        Lieth","344","61,9","211","92","74","7","13","11","7","7"
"111",1051068,"        Linden","695","63,9","438","233","103","24","29","12","11","26"
"112",1051069,"        Lohe-Rickelshof","1706","67,6","1142","465","406","90","55","47","44","35"
"113",1051071,"        Lunden","1347","48,4","640","206","285","25","21","43","18","42"
"114",1051072,"        Marne","4635","56,2","2564","1037","859","153","158","132","111","114"
"115",1051073,"        Marnerdeich","313","55,3","172","58","67","14","12","12","3","6"
"116",1051074,"        Meldorf","5878","56,9","3312","1189","1094","306","200","249","126","148"
"117",1051075,"        Neuenkirchen","798","61,0","481","199","181","18","21","18","20","24"
"118",1051076,"        Neufeld","506","63,4","318","145","104","15","21","14","8","11"
"119",1051077,"        Neufelderkoog","93","74,2","69","47","5","3","8","-","4","2"
"120",1051078,"        Nindorf","936","67,6","620","262","186","48","43","32","25","24"
"121",1051079,"        Norddeich","333","62,2","201","77","78","12","13","9","5","7"
"122",1051080,"        Norderheistedt","112","74,1","81","39","20","4","3","8","1","6"
"123",1051081,"        Norderwoehrden","243","62,6","152","87","37","4","13","6","5","-"
"124",1051082,"        Nordhastedt","2168","68,3","1460","642","467","97","76","72","55","51"
"125",1051083,"        Odderade","253","70,0","176","88","56","7","13","5","5","2"
"126",1051084,"        Oesterdeichstrich","188","59,6","111","53","34","3","10","3","7","1"
"127",1051085,"        Offenbuettel","214","69,2","145","98","16","10","10","4","5","2"
"128",1051086,"        Osterrade","334","64,7","213","115","56","15","5","8","6","8"
"129",1051087,"        Ostrohe","794","62,2","488","201","140","41","37","17","25","27"
"130",1051088,"        Pahlen","906","61,4","551","294","138","30","27","21","18","23"
"131",1051089,"        Quickborn","157","67,5","105","53","20","11","5","5","6","5"
"132",1051090,"        Ramhusen","125","64,0","77","42","16","2","5","3","6","3"
"133",1051092,"        Rehm-Flehde-Bargen","423","60,0","252","105","86","11","12","18","9","11"
"134",1051093,"        Reinsbuettel","333","63,1","205","83","74","7","14","6","7","14"
"135",1051096,"        Sankt Annen","261","64,8","168","85","51","15","5","1","3","8"
"136",1051097,"        Sankt Michaelisdonn","2867","56,6","1602","704","517","80","101","63","75","62"
"137",1051098,"        Sarzbuettel","557","63,9","346","139","102","23","17","25","27","13"
"138",1051099,"        Schafstedt","1068","63,4","664","332","139","47","57","29","24","36"
"139",1051100,"        Schalkholz","488","62,3","300","165","64","15","22","10","11","13"
"140",1051102,"        Schlichting","189","60,3","111","66","29","6","3","-","2","5"
"141",1051103,"        Schmedeswurth","161","66,5","104","53","29","5","6","-","6","5"
"142",1051104,"        Schrum","56","78,6","44","27","8","4","2","1","1","1"
"143",1051105,"        Schuelp","346","65,0","221","98","76","5","20","5","6","11"
"144",1051107,"        Stelle-Wittenwurth","395","47,8","181","98","52","5","9","7","4","6"
"145",1051108,"        Struebbel","75","81,3","58","28","15","1","5","3","2","4"
"146",1051109,"        Suederdeich","375","54,1","201","72","71","13","14","11","9","11"
"147",1051110,"        Suederhastedt","642","67,1","427","222","114","17","21","19","19","15"
"148",1051113,"        Woehrden","1048","63,2","657","316","202","34","29","30","20","26"
"149",1051114,"        Tellingstedt","2053","65,1","1313","690","331","71","85","45","54","37"
"150",1051117,"        Tielenhemme","124","70,2","86","47","14","8","1","3","6","7"
"151",1051118,"        Trennewurth","215","64,7","133","57","36","13","8","5","6","8"
"152",1051119,"        Volsemenhusen","267","57,3","151","84","33","12","7","7","3","5"
"153",1051120,"        Wallen","27","74,1","20","5","1","7","2","5","-","-"
"154",1051121,"        Warwerort","205","64,9","131","61","40","8","8","6","5","3"
"155",1051122,"        Weddingstedt","1886","62,2","1161","523","350","82","72","39","43","52"
"156",1051125,"        Welmbuettel","348","59,5","204","102","45","13","14","14","9","7"
"157",1051126,"        Wennbuettel","63","76,2","48","25","14","3","5","1","-","-"
"158",1051127,"        Wesselburen","2383","54,5","1283","524","422","50","104","69","65","49"
"159",1051128,"        Wesselburener Deichhausen","111","68,5","73","30","17","6","5","10","2","3"
"160",1051129,"        Wesselburenerkoog","134","61,2","82","39","22","3","8","1","1","8"
"161",1051130,"        Wesseln","1161","66,8","773","317","274","48","37","37","26","34"
"162",1051131,"        Westerborstel","85","78,8","67","35","13","9","6","4","-","-"
"163",1051132,"        Westerdeichstrich","731","57,6","413","177","118","32","28","14","18","26"
"164",1051133,"        Wiemerstedt","138","81,2","111","70","14","8","8","4","2","5"
"165",1051134,"        Windbergen","637","65,8","416","206","112","22","21","20","13","22"
"166",1051135,"        Wolmersdorf","269","69,1","182","80","39","26","12","7","9","9"
"167",1051136,"        Wrohm","574","71,3","403","223","91","25","26","14","8","16"
"168",1051137,"        Nordermeldorf","458","63,1","284","166","56","14","9","12","17","10"
"169",1051138,"        Tensbuettel-Roest","513","64,3","321","166","63","23","22","9","20","18"
"170",1051139,"        Suederdorf","299","69,9","204","143","22","10","15","3","4","7"
"171",1051140,"        Oesterwurth","215","69,8","149","66","30","15","10","8","9","11"
"172",1051141,"        Suederheistedt","465","66,5","300","154","72","17","22","11","13","11"
"173",1053001,"        Albsfelde","60","66,7","40","20","7","6","4","-","2","1"
"174",1053002,"        Alt Moelln","691","66,6","457","192","118","35","25","20","38","29"
"175",1053003,"        Aumuehle","2514","59,2","1480","643","323","183","143","68","83","37"
"176",1053004,"        Baek","686","67,3","459","219","110","35","34","11","34","16"
"177",1053005,"        Baelau","191","66,0","125","61","44","11","1","-","-","8"
"178",1053006,"        Basedow","556","64,6","353","105","121","32","12","16","45","22"
"179",1053007,"        Basthorst","354","75,7","263","121","52","25","14","20","18","13"
"180",1053008,"        Behlendorf","289","78,5","223","106","45","26","21","6","13","6"
"181",1053009,"        Berkenthin","1608","62,3","993","385","332","84","44","46","45","57"
"182",1053010,"        Besenthal","66","87,9","58","40","9","1","1","3","1","3"
"183",1053011,"        Bliestorf","495","70,5","341","101","120","60","9","25","7","19"
"184",1053012,"        Boernsen","3363","64,0","2130","799","705","240","97","104","94","91"
"185",1053013,"        Borstorf","226","72,6","161","72","42","23","6","6","4","8"
"186",1053014,"        Breitenfelde","1520","65,3","983","398","295","67","61","62","59","41"
"187",1053015,"        Broethen","218","60,6","132","51","41","9","12","9","9","1"
"188",1053016,"        Brunsmark","135","74,1","97","33","35","6","6","8","4","5"
"189",1053017,"        Brunstorf","479","67,2","319","150","73","22","13","13","33","15"
"190",1053018,"        Buchholz","182","77,5","141","49","37","22","12","11","4","6"
"191",1053019,"        Buchhorst","143","65,7","94","48","25","4","9","1","6","1"
"192",1053020,"        Buechen","4599","62,1","2827","1109","921","211","132","127","179","148"
"193",1053021,"        Dahmker","126","70,6","89","51","21","4","1","2","6","4"
"194",1053022,"        Dalldorf","298","67,1","194","92","46","9","14","9","13","11"
"195",1053023,"        Dassendorf","2477","66,9","1647","744","483","133","110","52","64","61"
"196",1053024,"        Duechelsdorf","125","69,6","86","35","27","6","7","4","5","2"
"197",1053025,"        Duvensee","429","67,1","282","131","79","27","19","12","5","9"
"198",1053026,"        Einhaus","311","71,4","221","91","71","22","8","13","12","4"
"199",1053027,"        Elmenhorst","674","65,1","437","181","136","33","19","19","28","21"
"200",1053028,"        Escheburg","2545","66,5","1684","677","473","205","79","86","108","56"
"201",1053029,"        Fitzen","265","78,1","207","80","80","14","2","8","13","10"
"202",1053030,"        Fredeburg","38","76,3","28","7","6","10","1","2","1","1"
"203",1053031,"        Fuhlenhagen","257","72,0","183","83","34","22","11","5","15","13"
"204",1053032,"        Geesthacht","22953","57,1","12969","4478","4502","1037","556","1019","777","600"
"205",1053033,"        Giesensdorf","113","58,4","64","29","10","9","5","4","5","2"
"206",1053034,"        Goeldenitz","179","72,6","129","74","32","6","6","5","2","4"
"207",1053035,"        Goettin","52","92,3","48","22","7","10","2","2","4","1"
"208",1053036,"        Grabau","247","66,0","163","85","39","11","9","5","8","6"
"209",1053037,"        Grambek","346","67,9","229","88","79","27","11","12","7","5"
"210",1053038,"        Grinau","265","52,5","138","54","47","11","4","6","12","4"
"211",1053039,"        Groß Boden","166","72,9","120","47","33","6","3","18","3","10"
"212",1053040,"        Groß Disnack","74","82,4","60","40","9","5","1","2","2","1"
"213",1053041,"        Groß Groenau","2953","69,4","2033","893","572","197","115","78","127","51"
"214",1053042,"        Groß Pampau","125","76,8","96","52","15","8","4","8","6","3"
"215",1053043,"        Groß Sarau","719","68,4","487","237","101","52","31","19","28","19"
"216",1053044,"        Groß Schenkenberg","436","69,5","301","97","99","45","17","12","18","13"
"217",1053045,"        Grove","212","77,4","159","79","43","13","5","2","11","6"
"218",1053046,"        Gudow","1318","64,7","846","380","260","58","49","21","51","27"
"219",1053047,"        Guelzow","1011","73,1","729","289","228","47","44","45","50","26"
"220",1053048,"        Guester","1028","59,4","603","251","166","46","41","36","36","27"
"221",1053049,"        Hamfelde","392","71,2","272","130","74","28","13","7","13","7"
"222",1053050,"        Hamwarde","645","70,5","451","185","149","31","29","27","18","12"
"223",1053051,"        Harmsdorf","243","69,1","163","84","45","6","9","6","5","8"
"224",1053052,"        Havekost","154","70,8","109","56","25","11","5","4","4","4"
"225",1053053,"        Hohenhorn","426","68,5","290","146","59","20","22","13","20","10"
"226",1053054,"        Hollenbek","344","63,7","216","98","64","16","7","13","13","5"
"227",1053056,"        Hornbek","153","64,1","96","29","28","8","7","4","9","11"
"228",1053057,"        Horst","192","64,6","120","63","34","6","5","6","3","3"
"229",1053058,"        Juliusburg","143","69,2","99","38","32","7","5","3","5","9"
"230",1053059,"        Kankelau","174","78,7","136","55","41","22","1","5","6","6"
"231",1053060,"        Kasseburg","491","73,3","358","198","71","22","22","19","18","8"
"232",1053061,"        Kastorf","902","62,1","556","200","179","45","31","27","38","36"
"233",1053062,"        Kittlitz","207","71,5","146","72","39","7","10","8","3","7"
"234",1053064,"        Klein Pampau","502","71,5","356","129","134","16","18","12","22","25"
"235",1053066,"        Klein Zecher","204","72,5","146","54","36","20","10","10","6","10"
"236",1053067,"        Klempau","477","69,0","325","149","80","38","16","12","15","15"
"237",1053068,"        Klinkrade","481","69,6","334","128","91","28","19","25","20","23"
"238",1053069,"        Koberg","603","66,2","394","182","100","37","21","18","21","15"
"239",1053070,"        Koethel","222","69,4","152","51","42","27","8","7","14","3"
"240",1053071,"        Kollow","472","74,8","346","124","92","46","21","14","29","20"
"241",1053072,"        Kroeppelshagen-Fahrendorf","973","68,9","665","315","181","51","38","27","28","25"
"242",1053073,"        Kruezen","290","75,9","217","97","63","11","10","8","13","15"
"243",1053074,"        Krukow","144","74,3","106","55","15","12","6","8","3","7"
"244",1053075,"        Krummesse","1269","73,0","919","379","287","92","35","40","45","41"
"245",1053076,"        Kuddewoerde","1067","64,4","683","330","174","55","42","26","39","17"
"246",1053077,"        Kuehsen","303","66,0","198","71","69","11","17","16","6","8"
"247",1053078,"        Kulpin","174","64,9","113","44","24","15","11","8","6","5"
"248",1053079,"        Labenz","661","74,3","487","192","159","37","29","24","23","23"
"249",1053080,"        Langenlehsten","125","60,8","76","33","14","8","2","4","4","11"
"250",1053081,"        Lankau","380","62,9","239","106","66","16","17","9","16","9"
"251",1053082,"        Lanze","224","71,4","157","84","36","7","9","6","11","4"
"252",1053083,"        Lauenburg/Elbe","8665","56,4","4828","1734","1784","345","189","320","222","234"
"253",1053084,"        Lehmrade","413","63,4","258","108","73","20","14","15","19","9"
"254",1053085,"        Linau","945","67,4","633","311","176","44","29","21","31","21"
"255",1053086,"        Luechow","239","63,6","149","52","57","8","9","6","8","9"
"256",1053087,"        Luetau","560","71,3","388","179","108","35","10","11","27","18"
"257",1053088,"        Mechow","89","82,0","72","31","23","9","3","3","2","1"
"258",1053089,"        Moehnsen","434","68,4","293","133","67","24","8","27","24","10"
"259",1053090,"        Moelln","14876","56,0","8234","3149","2646","687","371","490","538","353"
"260",1053091,"        Muehlenrade","144","68,8","99","43","23","5","10","3","6","9"
"261",1053092,"        Muessen","794","67,1","532","258","124","56","20","24","24","26"
"262",1053093,"        Mustin","593","62,6","369","180","94","29","14","23","21","8"
"263",1053094,"        Niendorf bei Berkenthin","152","73,0","109","52","24","10","6","5","4","8"
"264",1053095,"        Niendorf/Stecknitz","506","69,8","347","132","103","38","20","13","24","17"
"265",1053096,"        Nusse","811","61,9","498","195","151","39","33","27","31","22"
"266",1053097,"        Panten","507","61,9","310","119","80","36","22","18","21","14"
"267",1053098,"        Pogeez","309","66,0","203","87","59","15","23","11","6","2"
"268",1053099,"        Poggensee","275","61,1","166","50","65","21","12","8","5","5"
"269",1053100,"        Ratzeburg","11286","57,5","6421","2584","1820","554","373","412","364","314"
"270",1053101,"        Ritzerau","228","71,5","163","64","56","16","8","6","8","5"
"271",1053102,"        Roemnitz","58","67,2","39","19","6","4","2","2","2","4"
"272",1053103,"        Rondeshagen","641","68,5","432","159","135","51","25","28","24","10"
"273",1053104,"        Roseburg","443","65,2","287","110","102","20","13","12","16","14"
"274",1053106,"        Sahms","310","70,6","216","94","61","17","14","9","12","9"
"275",1053107,"        Salem","487","65,3","314","149","73","25","12","25","17","13"
"276",1053108,"        Sandesneben","1315","68,7","892","369","254","82","54","46","34","53"
"277",1053109,"        Schiphorst","454","67,4","302","130","80","27","24","12","14","15"
"278",1053110,"        Schmilau","455","71,0","322","142","92","30","15","20","11","12"
"279",1053111,"        Schnakenbek","691","69,0","475","174","161","44","14","27","37","18"
"280",1053112,"        Schoenberg","1064","66,6","702","322","183","49","38","41","40","29"
"281",1053113,"        Schretstaken","415","69,4","283","119","94","28","7","8","15","12"
"282",1053114,"        Schuerensoehlen","131","80,2","104","44","24","12","3","7","5","9"
"283",1053115,"        Schulendorf","374","70,3","262","134","46","23","14","13","21","11"
"284",1053116,"        Schwarzenbek","11521","57,5","6546","2532","2063","497","330","362","435","327"
"285",1053117,"        Seedorf","459","64,9","294","158","75","16","16","9","9","11"
"286",1053118,"        Siebenbaeumen","505","67,9","337","110","138","25","15","19","13","17"
"287",1053119,"        Siebeneichen","216","66,2","141","57","41","11","11","11","5","5"
"288",1053120,"        Sierksrade","267","63,3","167","64","51","11","12","8","12","9"
"289",1053121,"        Sirksfelde","264","67,8","179","70","54","17","9","12","8","9"
"290",1053122,"        Steinhorst","434","66,1","283","120","91","25","11","12","12","12"
"291",1053123,"        Sterley","734","68,8","498","230","133","37","32","20","21","25"
"292",1053124,"        Stubben","319","65,5","209","80","63","18","10","13","15","10"
"293",1053125,"        Talkau","426","65,5","277","123","88","18","9","12","10","17"
"294",1053126,"        Tramm","279","78,5","217","109","57","11","13","8","12","7"
"295",1053127,"        Walksfelde","147","67,3","97","39","22","11","3","2","16","4"
"296",1053128,"        Wangelau","179","70,9","127","61","39","7","5","2","7","6"
"297",1053129,"        Wentorf bei Hamburg","9428","62,0","5803","2279","1676","645","415","271","316","201"
"298",1053130,"        Wentorf (Amt Sandesneben)","553","62,6","340","127","110","39","27","11","10","16"
"299",1053131,"        Wiershop","138","78,3","108","49","26","8","12","3","6","4"
"300",1053132,"        Witzeeze","710","62,7","442","194","110","40","25","20","32","21"
"301",1053133,"        Wohltorf","1917","60,4","1144","474","260","127","141","48","58","36"
"302",1053134,"        Woltersdorf","251","63,7","159","74","40","6","11","4","10","14"
"303",1053135,"        Worth","139","71,9","99","58","19","-","8","4","6","4"
"304",1053136,"        Ziethen","782","69,4","538","237","155","45","37","14","22","28"
"305",1054001,"        Achtrup","1206","62,3","741","345","201","42","35","39","40","39"
"306",1054002,"        Ahrenshoeft","426","72,3","304","135","86","17","19","22","9","16"
"307",1054003,"        Ahrenvioel","416","65,1","268","137","64","25","13","12","4","13"
"308",1054004,"        Ahrenvioelfeld","190","68,4","128","76","25","8","9","4","5","1"
"309",1054005,"        Alkersum","324","64,2","205","135","30","16","13","3","5","3"
"310",1054006,"        Almdorf","426","63,6","264","113","82","19","14","10","11","15"
"311",1054007,"        Arlewatt","268","70,9","188","106","48","9","9","6","5","5"
"312",1054009,"        Aventoft","366","69,4","252","89","103","17","13","14","11","5"
"313",1054010,"        Bargum","469","70,1","326","179","66","22","15","13","9","22"
"314",1054011,"        Behrendorf","429","72,7","310","183","63","10","24","7","20","3"
"315",1054012,"        Bohmstedt","607","66,9","401","181","96","43","20","14","26","21"
"316",1054013,"        Bondelum","144","63,2","86","53","17","2","5","3","-","6"
"317",1054014,"        Bordelum","1614","65,4","1035","471","295","104","43","47","32","43"
"318",1054015,"        Borgsum","267","71,2","189","108","30","16","18","6","5","6"
"319",1054016,"        Bosbuell","165","70,9","115","50","43","9","5","4","3","1"
"320",1054017,"        Braderup","521","64,7","336","154","99","27","12","16","10","18"
"321",1054018,"        Bramstedtlund","163","69,3","109","44","29","12","2","8","6","8"
"322",1054019,"        Bredstedt","4089","52,4","2123","783","760","171","124","106","88","91"
"323",1054020,"        Breklum","1831","64,2","1164","486","364","112","59","55","30","58"
"324",1054022,"        Dagebuell","773","58,7","446","200","119","51","20","17","20","19"
"325",1054023,"        Drage","486","60,9","285","115","72","27","27","15","14","15"
"326",1054024,"        Drelsdorf","967","67,7","645","275","172","69","46","31","19","33"
"327",1054025,"        Dunsum","61","93,4","57","36","9","3","5","2","2","-"
"328",1054026,"        Elisabeth-Sophien-Koog","34","82,4","27","20","2","-","1","-","-","4"
"329",1054027,"        Ellhoeft","80","57,5","46","23","5","4","2","4","3","5"
"330",1054032,"        Fresendelf","75","81,3","61","14","22","5","7","6","3","4"
"331",1054033,"        Friedrichstadt","2028","59,5","1178","395","501","62","57","67","44","52"
"332",1054034,"        Friedrich-Wilhelm-Luebke-Koog","151","69,5","104","68","17","8","5","1","-","5"
"333",1054035,"        Garding, Kirchspiel","289","63,0","180","64","40","22","24","4","15","11"
"334",1054036,"        Garding","2126","54,6","1142","469","380","57","66","57","61","52"
"335",1054037,"        Goldebek","272","77,9","209","94","75","13","10","3","5","9"
"336",1054038,"        Goldelund","319","73,7","234","118","47","28","7","10","15","9"
"337",1054039,"        Groede","9","-","-","-","-","-","-","-","-","-"
"338",1054040,"        Grothusenkoog","17","64,7","11","4","1","-","6","-","-","-"
"339",1054041,"        Haselund","718","71,0","508","258","136","27","31","16","16","24"
"340",1054042,"        Hattstedt","1979","63,6","1242","497","421","87","57","71","59","50"
"341",1054043,"        Hattstedtermarsch","241","64,7","155","77","34","16","12","5","5","6"
