"","Schluessel","Name.y","Wahlberechtigte.btw","Wahlbeteiligung.btw","Gueltige.Zweitstimmen.btw","CDU.CSU.btw","SPD.btw","GRUENE.btw","FDP.btw","LINKE.btw","AfD.btw","Sonstige.Parteien.btw"
"3226",16065075,"        Trebra","252","58,3","171","64","25","6","2","44","17","13"
"3227",16065076,"        Voigtstedt","773","61,0","445","172","60","10","9","156","8","30"
"3228",16065077,"        Wasserthaleben","341","63,6","201","64","29","8","9","56","5","30"
"3229",16065079,"        Westgreußen","335","57,7","209","82","24","6","8","60","11","18"
"3230",16065081,"        Wiehe, Stadt","1653","66,1","927","360","143","34","25","251","46","68"
"3231",16065082,"        Wolferschwenda","109","62,2","70","23","9","3","1","19","4","11"
"3232",16065084,"        Großenehrich, Stadt","2138","55,5","1293","491","201","28","35","386","56","96"
"3233",16065085,"        Kyffhaeuserland","3547","66,6","1934","740","303","57","60","507","88","179"
"3234",16066001,"        Altersbach","440","67,1","226","95","47","12","3","53","6","10"
"3235",16066002,"        Aschenhausen","143","64,5","91","44","16","3","1","22","2","3"
"3236",16066005,"        Belrieth","310","68,9","199","109","26","3","2","42","8","9"
"3237",16066006,"        Benshausen","2074","62,8","1391","542","223","53","35","326","68","144"
"3238",16066008,"        Bermbach","473","64,7","289","120","40","15","4","68","19","23"
"3239",16066012,"        Birx","153","57,3","95","24","24","2","7","30","3","5"
"3240",16066013,"        Breitungen/Werra","4168","54,9","2350","909","423","78","39","574","127","200"
"3241",16066015,"        Christes","519","58,3","277","126","45","9","9","44","16","28"
"3242",16066016,"        Dillstaedt","719","70,9","412","179","45","13","9","94","26","46"
"3243",16066017,"        Einhausen","395","71,2","270","100","61","16","3","60","12","18"
"3244",16066018,"        Ellingshausen","222","63,1","158","71","31","7","-","25","5","19"
"3245",16066019,"        Erbenhausen","472","58,2","296","172","30","5","6","48","13","22"
"3246",16066022,"        Fambach","1840","70,6","1052","437","193","36","27","220","56","83"
"3247",16066023,"        Floh-Seligenthal","5374","48,0","3745","1817","571","139","171","655","172","220"
"3248",16066024,"        Frankenheim/Rhoen","960","50,7","456","162","75","7","6","136","35","35"
"3249",16066025,"        Friedelshausen","268","66,2","136","50","24","5","5","37","-","15"
"3250",16066028,"        Henneberg","509","66,5","330","149","46","13","11","78","11","22"
"3251",16066033,"        Huempfershausen","364","60,4","240","98","34","7","4","71","9","17"
"3252",16066035,"        Kaltensundheim","707","59,4","426","243","55","13","25","55","8","27"
"3253",16066036,"        Kaltenwestheim","836","64,4","496","210","90","22","9","110","21","34"
"3254",16066038,"        Kuehndorf","864","69,3","539","221","50","24","11","150","28","55"
"3255",16066039,"        Leutersdorf","228","67,6","158","100","12","5","5","26","10","-"
"3256",16066041,"        Mehmels","306","60,4","206","107","27","8","1","37","12","14"
"3257",16066042,"        Meiningen, Stadt","17863","63,0","10651","3970","1843","550","246","2761","548","733"
"3258",16066043,"        Melpers","81","58,9","47","21","4","-","1","15","1","5"
"3259",16066044,"        Metzels","564","62,3","327","151","44","14","6","58","22","32"
"3260",16066045,"        Neubrunn","499","70,2","307","123","50","10","6","82","22","14"
"3261",16066047,"        Oberhof, Stadt","1328","75,4","918","386","142","33","23","205","62","67"
"3262",16066048,"        Oberkatz","228","51,5","167","56","30","4","3","55","1","18"
"3263",16066049,"        Obermaßfeld-Grimmenthal","1008","57,4","512","198","91","27","8","117","37","34"
"3264",16066051,"        Oberschoenau, Kurort","706","66,6","399","157","93","7","13","82","17","30"
"3265",16066052,"        Oberweid","440","65,1","291","121","60","8","6","67","10","19"
"3266",16066053,"        Oepfershausen","418","59,1","267","114","53","5","12","54","10","19"
"3267",16066056,"        Rippershausen","766","63,4","448","222","49","17","10","87","28","35"
"3268",16066057,"        Ritschenhausen","295","61,6","185","77","37","6","3","45","-","17"
"3269",16066058,"        Rohr","841","59,0","512","226","58","22","6","131","20","49"
"3270",16066059,"        Rosa","647","56,3","380","142","57","8","7","102","20","44"
"3271",16066061,"        Roßdorf","565","62,6","317","126","62","12","2","78","8","29"
"3272",16066062,"        Rotterode","652","63,1","402","200","46","15","13","92","10","26"
"3273",16066063,"        Schmalkalden, Kurort, Stadt","16567","59,9","10317","3694","1808","377","249","2829","568","792"
"3274",16066064,"        Schwallungen","2163","53,8","1274","474","234","27","37","328","61","113"
"3275",16066065,"        Schwarza","1079","51,6","570","245","81","22","8","134","33","47"
"3276",16066067,"        Springstille","514","66,7","260","125","32","6","8","65","9","15"
"3277",16066069,"        Steinbach-Hallenberg, Kurort, Stadt","4515","64,6","2950","1231","472","136","119","623","169","200"
"3278",16066071,"        Stepfershausen","536","68,3","337","172","52","11","6","60","16","20"
"3279",16066073,"        Suelzfeld","691","64,5","463","212","90","28","7","94","16","16"
"3280",16066074,"        Brotterode-Trusetal, Stadt","5669","63,1","3588","1478","558","127","131","743","210","341"
"3281",16066075,"        Unterkatz","320","51,8","197","107","33","2","4","38","6","7"
"3282",16066076,"        Untermaßfeld","1058","62,5","541","195","77","27","6","165","34","37"
"3283",16066077,"        Unterschoenau","485","65,3","297","142","53","13","13","38","10","28"
"3284",16066078,"        Unterweid","398","63,8","258","111","42","13","5","60","11","16"
"3285",16066079,"        Utendorf","389","63,5","244","94","53","10","3","60","8","16"
"3286",16066081,"        Vachdorf","694","58,8","435","184","70","12","9","120","21","19"
"3287",16066082,"        Viernau","1735","61,6","1000","444","116","40","32","237","56","75"
"3288",16066083,"        Wahns","359","67,2","217","115","25","5","5","42","9","16"
"3289",16066084,"        Wallbach","308","57,9","205","80","40","6","9","43","14","13"
"3290",16066085,"        Walldorf","1852","52,7","1056","428","172","43","20","270","49","74"
"3291",16066086,"        Wasungen, Stadt","2976","63,4","1543","642","263","49","30","361","90","108"
"3292",16066088,"        Woelfershausen","306","69,8","187","92","21","4","1","49","7","13"
"3293",16066092,"        Zella-Mehlis, Stadt","9649","72,9","6634","2540","1024","305","154","1634","432","545"
"3294",16066093,"        Rhoenblick","2391","68,2","1708","683","291","88","43","415","75","113"
"3295",16066094,"        Grabfeld","4671","67,6","3132","1551","451","105","73","605","127","220"
"3296",16067003,"        Ballstaedt","590","68,4","406","188","48","23","9","88","23","27"
"3297",16067004,"        Bienstaedt","582","66,8","390","164","47","24","10","89","21","35"
"3298",16067005,"        Brueheim","407","71,1","267","115","37","9","5","61","18","22"
"3299",16067006,"        Bufleben","873","71,5","607","263","99","19","20","129","25","52"
"3300",16067008,"        Crawinkel","1240","64,0","850","358","185","17","14","151","54","71"
"3301",16067009,"        Dachwig","1301","58,5","824","279","150","34","38","182","64","77"
"3302",16067011,"        Doellstaedt","973","73,1","554","218","60","21","19","159","24","53"
"3303",16067013,"        Emleben","621","66,7","445","196","68","13","12","78","31","47"
"3304",16067016,"        Eschenbergen","610","55,8","402","212","47","12","15","65","16","35"
"3305",16067019,"        Friedrichroda, Stadt","6301","65,9","3425","1342","551","145","83","760","301","243"
"3306",16067021,"        Friedrichswerth","416","54,4","273","130","53","1","3","56","10","20"
"3307",16067022,"        Friemar","883","58,7","472","192","84","16","13","103","21","43"
"3308",16067025,"        Georgenthal/Thuer. Wald","2150","65,7","1238","495","227","46","32","278","83","77"
"3309",16067026,"        Gierstaedt","699","63,0","450","185","60","23","4","86","34","58"
"3310",16067027,"        Goldbach","1420","62,5","878","412","148","38","17","156","38","69"
"3311",16067029,"        Gotha, Stadt","36650","55,9","22517","7727","4561","1147","497","5434","1292","1859"
"3312",16067032,"        Graefenhain","1182","67,1","651","291","101","18","24","127","46","44"
"3313",16067033,"        Großfahner","689","63,6","452","175","49","17","14","86","35","76"
"3314",16067035,"        Haina","423","62,8","263","108","43","15","4","68","12","13"
"3315",16067036,"        Herrenhof","698","63,9","422","180","54","14","7","82","44","41"
"3316",16067037,"        Hochheim","421","66,5","263","125","42","5","6","55","8","22"
"3317",16067039,"        Hohenkirchen","632","61,1","414","212","45","13","10","81","23","30"
"3318",16067044,"        Luisenthal","1086","60,8","653","237","129","14","6","173","54","40"
"3319",16067047,"        Molschleben","883","64,5","519","187","87","15","11","128","35","56"
"3320",16067052,"        Nottleben","369","55,8","236","95","33","7","4","60","11","26"
"3321",16067053,"        Ohrdruf, Stadt","4719","73,6","2578","978","433","64","66","626","190","221"
"3322",16067054,"        Petriroda","277","66,7","200","78","43","11","3","46","7","12"
"3323",16067055,"        Pferdingsleben","339","66,3","221","103","26","6","3","41","10","32"
"3324",16067056,"        Remstaedt","802","68,9","527","217","93","35","18","119","15","30"
"3325",16067059,"        Schwabhausen","620","63,6","418","206","58","8","7","88","22","29"
"3326",16067063,"        Sonneborn","1034","61,1","648","289","131","24","14","111","22","57"
"3327",16067064,"        Bad Tabarz","3427","61,1","2063","806","322","112","61","468","154","140"
"3328",16067065,"        Tambach-Dietharz/Thuer. Wald, Stadt","3479","50,2","2078","859","401","71","42","400","137","168"
"3329",16067067,"        Tonna","2343","72,6","1159","492","209","32","31","243","64","88"
"3330",16067068,"        Troechtelborn","274","50,9","195","94","32","5","3","24","15","22"
"3331",16067071,"        Tuettleben","621","53,4","305","108","47","14","14","52","42","28"
"3332",16067072,"        Waltershausen, Stadt","8714","67,9","4578","1818","779","205","133","953","307","383"
"3333",16067074,"        Wangenheim","558","65,7","371","130","78","15","11","88","17","32"
"3334",16067075,"        Warza","603","73,0","388","146","78","13","8","80","24","39"
"3335",16067078,"        Westhausen","419","61,7","298","103","53","7","11","65","26","33"
"3336",16067081,"        Woelfis","1271","66,6","763","312","130","23","19","179","45","55"
"3337",16067082,"        Zimmernsupra","302","63,2","199","90","23","5","4","50","14","13"
"3338",16067083,"        Leinatal","3198","69,0","1981","891","298","79","56","347","135","175"
"3339",16067085,"        Guenthersleben-Wechmar","2541","68,1","1636","677","282","56","37","330","122","132"
"3340",16067086,"        Drei Gleichen","4313","63,1","2880","1301","388","128","62","587","172","242"
"3341",16067087,"        Nesse-Apfelstaedt","5009","75,9","3096","1242","472","189","66","656","230","241"
"3342",16067088,"        Hoersel","4174","66,3","3119","1323","542","150","63","577","190","274"
"3343",16068001,"        Alperstedt","563","63,7","374","154","55","4","8","73","24","56"
"3344",16068002,"        Andisleben","491","61,8","307","125","49","11","6","77","18","21"
"3345",16068003,"        Beichlingen","434","57,4","268","111","28","9","4","74","20","22"
"3346",16068004,"        Bilzingsleben","611","60,2","344","151","72","8","5","71","17","20"
"3347",16068005,"        Buechel","201","55,9","118","55","22","-","1","29","2","9"
"3348",16068006,"        Buttstaedt, Stadt","2086","59,3","1131","440","187","30","40","225","98","111"
"3349",16068007,"        Eckstedt","506","50,7","294","126","29","9","9","64","17","40"
"3350",16068008,"        Ellersleben","225","67,1","111","51","18","2","4","23","5","8"
"3351",16068009,"        Elxleben","1893","65,3","1255","541","186","46","45","241","87","109"
"3352",16068011,"        Eßleben-Teutleben","268","65,2","170","64","23","12","10","33","7","21"
"3353",16068012,"        Froemmstedt","451","60,0","287","102","43","8","4","61","22","47"
"3354",16068013,"        Gangloffsoemmern","845","58,3","497","196","71","13","22","121","26","48"
"3355",16068014,"        Gebesee, Stadt","1810","64,1","1033","402","122","39","76","244","13","137"
"3356",16068015,"        Griefstedt","248","62,7","151","67","23","2","4","37","11","7"
"3357",16068016,"        Großbrembach","641","73,4","389","173","59","18","9","78","20","32"
"3358",16068017,"        Großmoelsen","188","61,9","137","56","23","2","1","28","17","10"
"3359",16068019,"        Großneuhausen","598","67,1","360","137","42","4","40","66","29","42"
"3360",16068021,"        Großrudestedt","1604","56,4","1057","476","120","14","31","213","83","120"
"3361",16068022,"        Guenstedt","635","43,4","348","134","42","10","9","90","17","46"
"3362",16068023,"        Guthmannshausen","624","63,5","269","117","21","6","1","54","19","51"
"3363",16068024,"        Hardisleben","485","64,2","301","128","47","6","11","67","15","27"
"3364",16068025,"        Haßleben","841","64,7","521","242","77","17","12","97","38","38"
"3365",16068026,"        Henschleben","312","65,3","200","61","26","4","10","63","11","25"
"3366",16068027,"        Herrnschwende","245","47,6","159","69","20","5","3","35","2","25"
"3367",16068028,"        Kannawurf","717","51,8","336","123","56","8","8","92","13","36"
"3368",16068029,"        Kindelbrueck, Stadt","1480","76,0","748","319","119","10","21","168","49","62"
"3369",16068031,"        Kleinbrembach","275","77,6","203","100","29","6","1","33","18","16"
"3370",16068032,"        Kleinmoelsen","277","54,1","215","101","28","8","2","37","20","19"
"3371",16068033,"        Kleinneuhausen","329","56,4","173","88","23","3","13","24","10","12"
"3372",16068034,"        Koelleda, Stadt","5275","59,1","2921","1172","405","109","105","658","179","293"
"3373",16068035,"        Mannstedt","318","69,7","184","64","35","9","8","36","10","22"
"3374",16068036,"        Markvippach","465","66,3","321","121","39","17","9","58","28","49"
"3375",16068037,"        Noeda","670","56,1","436","184","63","12","14","89","42","32"
"3376",16068038,"        Olbersleben","615","71,8","336","171","31","9","6","64","19","36"
"3377",16068039,"        Ollendorf","379","64,2","264","104","38","19","6","51","20","26"
"3378",16068041,"        Ostramondra","436","58,6","272","104","46","12","4","61","20","25"
"3379",16068042,"        Rastenberg, Stadt","2258","52,1","1299","528","187","49","62","284","78","111"
"3380",16068043,"        Riethgen","213","64,6","107","26","12","6","1","32","6","24"
"3381",16068044,"        Riethnordhausen","878","69,1","562","217","94","27","23","111","33","57"
"3382",16068045,"        Ringleben","433","73,9","298","143","39","8","12","53","25","18"
"3383",16068046,"        Rudersdorf","276","57,5","201","88","22","4","4","36","15","32"
"3384",16068047,"        Schillingstedt","200","64,6","105","28","19","4","3","36","6","9"
"3385",16068048,"        Schloßvippach","1202","58,9","761","315","96","25","19","166","51","89"
"3386",16068049,"        Schwerstedt","516","62,7","299","121","38","6","14","75","11","34"
"3387",16068051,"        Soemmerda, Stadt","16541","62,2","10195","3497","1648","384","272","3085","515","794"
"3388",16068052,"        Sproetau","635","51,6","392","146","81","14","8","86","21","36"
"3389",16068053,"        Straußfurt","1511","63,6","772","267","127","26","19","194","62","77"
"3390",16068055,"        Udestedt","665","71,2","418","159","60","14","16","102","24","43"
"3391",16068056,"        Vogelsberg","577","63,4","401","164","54","15","8","115","13","32"
"3392",16068057,"        Walschleben","1474","57,8","908","354","179","39","21","198","53","64"
"3393",16068058,"        Weißensee, Stadt","2901","57,1","1647","705","229","53","45","389","81","145"
"3394",16068059,"        Werningshausen","569","64,6","317","140","40","6","12","56","26","37"
"3395",16068061,"        Witterda","932","66,8","595","273","87","35","23","100","35","42"
"3396",16068062,"        Wundersleben","576","66,7","379","150","42","12","12","104","33","26"
"3397",16069001,"        Ahlstaedt","120","58,2","87","41","12","2","3","18","-","11"
"3398",16069002,"        Bad Colberg-Heldburg, Stadt","1763","59,6","1010","448","143","27","26","221","41","104"
"3399",16069003,"        Beinerstadt","297","72,0","173","67","23","1","3","57","4","18"
"3400",16069004,"        Bischofrod","157","73,6","111","35","15","9","2","33","4","13"
"3401",16069006,"        Bruenn/Thuer.","367","61,2","252","108","31","5","6","65","16","21"
"3402",16069008,"        Dingsleben","209","68,4","127","61","14","8","4","20","4","16"
"3403",16069009,"        Ehrenberg","171","73,4","114","39","23","3","8","23","8","10"
"3404",16069011,"        Eichenberg","154","58,6","111","35","17","6","1","35","3","14"
